citycode,cityname,cityname_kn,matomeareacode,matomeareaname,matomeareaname_kn,firstareacode,firstareaname,firstareaname_kn,prefcode,prefname,prefname_kn
0420200,石巻市,いしのまきし,040012,石巻地域,いしのまきちいき,040010,東部,とうぶ,040000,宮城県,みやぎけん
0420300,塩竈市,しおがまし,040011,東部仙台,とうぶせんだい,040010,東部,とうぶ,040000,宮城県,みやぎけん
0420500,気仙沼市,けせんぬまし,040014,気仙沼地域,けせんぬまちいき,040010,東部,とうぶ,040000,宮城県,みやぎけん
0420600,白石市,しろいしし,040022,西部仙南,せいぶせんなん,040020,西部,せいぶ,040000,宮城県,みやぎけん
0420700,名取市,なとりし,040011,東部仙台,とうぶせんだい,040010,東部,とうぶ,040000,宮城県,みやぎけん
0420800,角田市,かくだし,040015,東部仙南,とうぶせんなん,040010,東部,とうぶ,040000,宮城県,みやぎけん
0420900,多賀城市,たがじょうし,040011,東部仙台,とうぶせんだい,040010,東部,とうぶ,040000,宮城県,みやぎけん
0421100,岩沼市,いわぬまし,040011,東部仙台,とうぶせんだい,040010,東部,とうぶ,040000,宮城県,みやぎけん
0421200,登米市,とめし,040016,登米・東部栗原,とめとうぶくりはら,040010,東部,とうぶ,040000,宮城県,みやぎけん
0421301,栗原市東部,くりはらしとうぶ,040016,登米・東部栗原,とめとうぶくりはら,040010,東部,とうぶ,040000,宮城県,みやぎけん
0421302,栗原市西部,くりはらしせいぶ,040024,西部栗原,せいぶくりはら,040020,西部,せいぶ,040000,宮城県,みやぎけん
0421400,東松島市,ひがしまつしまし,040012,石巻地域,いしのまきちいき,040010,東部,とうぶ,040000,宮城県,みやぎけん
0421501,大崎市東部,おおさきしとうぶ,040013,東部大崎,とうぶおおさき,040010,東部,とうぶ,040000,宮城県,みやぎけん
0421502,大崎市西部,おおさきしせいぶ,040023,西部大崎,せいぶおおさき,040020,西部,せいぶ,040000,宮城県,みやぎけん
0421600,富谷市,とみやし,040011,東部仙台,とうぶせんだい,040010,東部,とうぶ,040000,宮城県,みやぎけん
0430100,蔵王町,ざおうまち,040022,西部仙南,せいぶせんなん,040020,西部,せいぶ,040000,宮城県,みやぎけん
0430200,七ヶ宿町,しちかしゅくまち,040022,西部仙南,せいぶせんなん,040020,西部,せいぶ,040000,宮城県,みやぎけん
0432100,大河原町,おおがわらまち,040015,東部仙南,とうぶせんなん,040010,東部,とうぶ,040000,宮城県,みやぎけん
0432200,村田町,むらたまち,040015,東部仙南,とうぶせんなん,040010,東部,とうぶ,040000,宮城県,みやぎけん
0432300,柴田町,しばたまち,040015,東部仙南,とうぶせんなん,040010,東部,とうぶ,040000,宮城県,みやぎけん
0432400,川崎町,かわさきまち,040022,西部仙南,せいぶせんなん,040020,西部,せいぶ,040000,宮城県,みやぎけん
0434100,丸森町,まるもりまち,040015,東部仙南,とうぶせんなん,040010,東部,とうぶ,040000,宮城県,みやぎけん
0436100,亘理町,わたりちょう,040011,東部仙台,とうぶせんだい,040010,東部,とうぶ,040000,宮城県,みやぎけん
0436200,山元町,やまもとちょう,040011,東部仙台,とうぶせんだい,040010,東部,とうぶ,040000,宮城県,みやぎけん
0440100,松島町,まつしままち,040011,東部仙台,とうぶせんだい,040010,東部,とうぶ,040000,宮城県,みやぎけん
0440400,七ヶ浜町,しちがはままち,040011,東部仙台,とうぶせんだい,040010,東部,とうぶ,040000,宮城県,みやぎけん
